minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards;tm_id;ss_id;season_origen;season_futuro_id;tipo_dato
1176;15;14;4;12;6;5;1;0;1;0;1;2;0;0;0;1;12;9;86;5;2;11;6;20;20;224;150;25;32;0;84;0;3;1;830848;1087004;2024_2025;70962;futuro_real
390;6;4;0;2;0;1;1;0;3;0;0;2;0;0;0;0;7;4;10;5;0;4;5;3;14;204;171;51;14;0;51;1;1;0;832217;1086281;2024_2025;70962;futuro_real
1076;18;13;3;37;17;14;6;2;11;1;6;30;2;0;0;3;7;4;9;7;0;15;41;12;78;330;263;118;7;1;164;24;1;0;836494;1084961;2024_2025;70962;futuro_real
1707;31;21;3;40;8;23;9;3;37;4;4;21;1;0;0;6;19;19;8;26;0;32;25;10;65;567;406;179;40;18;344;29;9;0;839993;1092343;2024_2025;70962;futuro_real
1052;23;10;0;6;1;4;1;2;9;0;0;9;0;0;0;1;12;13;26;8;1;9;3;3;24;283;203;62;19;13;186;13;3;0;842604;1095031;2024_2025;70962;futuro_real
644;9;7;1;3;1;0;2;0;1;0;0;1;0;0;0;0;4;2;38;1;0;1;5;14;10;338;297;13;16;0;46;2;2;1;84506;47439;2024_2025;70962;futuro_real
2965;36;34;14;100;44;46;10;6;50;9;11;19;2;5;3;51;12;2;9;5;0;35;33;32;63;301;204;114;4;12;314;32;8;0;851121;1096363;2024_2025;70962;futuro_real
1329;29;12;2;27;7;11;9;2;28;2;0;17;0;0;0;2;25;10;9;8;0;12;37;7;79;525;428;171;21;10;186;13;1;0;857805;1107889;2024_2025;70962;futuro_real
1379;20;14;0;6;1;5;0;0;7;1;1;3;0;0;0;0;23;18;103;9;1;15;6;35;32;453;327;62;51;0;172;0;4;0;871653;1107917;2024_2025;70962;futuro_real
2387;32;32;5;70;19;29;22;3;43;6;4;29;1;0;0;7;53;11;13;14;0;56;70;6;152;563;395;167;31;27;425;55;6;0;873510;1098306;2024_2025;70962;futuro_real
1088;27;9;5;41;16;15;10;3;23;3;5;15;0;1;1;3;11;0;3;4;0;13;23;1;49;309;231;114;10;10;174;10;1;0;874831;1411422;2024_2025;70962;futuro_real
1999;33;25;9;53;19;22;12;1;16;2;7;6;1;1;1;6;10;4;31;4;0;42;42;73;57;366;232;75;9;0;226;15;7;0;87508;991202;2024_2025;70962;futuro_real
1192;18;13;0;4;0;4;0;0;5;1;1;3;0;0;0;0;19;6;65;8;1;12;7;26;28;524;436;30;32;0;110;3;4;0;891814;1120472;2024_2025;70962;futuro_real
2762;31;30;2;21;9;11;1;0;14;0;0;6;0;0;0;1;40;26;146;23;2;25;16;61;62;1268;1091;89;56;1;220;12;4;0;894212;1131133;2024_2025;70962;futuro_real
1990;32;21;2;35;8;17;10;3;41;6;0;15;1;0;0;0;25;23;15;25;0;19;38;17;78;1085;859;311;83;35;401;29;8;0;894880;1415941;2024_2025;70962;futuro_real
1207;31;9;9;43;19;16;8;1;13;1;7;20;0;1;1;16;3;2;4;9;0;22;2;13;25;184;142;51;3;1;113;17;7;0;906422;1173448;2024_2025;70962;futuro_real
887;27;8;3;24;6;12;6;2;12;3;1;14;0;0;0;2;13;7;3;6;1;4;2;7;29;174;135;53;2;4;126;13;1;0;908300;1018414;2024_2025;70962;futuro_real
2314;33;31;8;55;22;27;6;2;17;7;8;8;1;2;2;14;11;3;18;24;0;50;32;34;49;395;272;91;16;2;222;13;7;1;909314;1129485;2024_2025;70962;futuro_real
1226;22;13;0;5;3;1;1;0;12;2;0;17;0;0;0;2;27;14;47;11;1;13;36;12;80;322;267;49;13;7;148;8;3;1;909475;1159659;2024_2025;70962;futuro_real
2160;24;24;0;16;4;10;2;0;5;2;1;9;0;0;0;3;17;19;135;18;1;26;13;53;39;850;687;70;64;2;190;2;10;0;936044;1526674;2024_2025;70962;futuro_real
1343;30;16;7;43;18;18;7;0;16;1;11;3;0;0;0;15;9;4;22;5;0;22;17;35;28;305;206;96;7;1;153;14;3;0;94761;883299;2024_2025;70962;futuro_real
1308;18;16;1;20;4;12;4;0;18;2;0;32;0;0;0;2;18;17;44;12;0;18;20;15;70;380;277;76;30;24;301;8;2;0;953990;943712;2024_2025;70962;futuro_real
1763;25;20;0;7;2;4;1;0;10;0;0;8;0;0;0;2;41;26;63;17;0;27;21;30;70;769;650;97;50;0;149;6;5;0;95852;123238;2024_2025;70962;futuro_real
1269;27;14;0;1;0;1;0;0;7;0;0;9;0;0;0;0;48;28;29;27;2;38;9;24;66;494;423;66;16;0;100;5;5;0;965449;1170641;2024_2025;70962;futuro_real
1908;28;20;1;19;5;8;6;0;18;2;1;31;0;0;0;2;38;28;59;10;0;10;12;22;81;922;773;218;41;14;305;17;1;0;965846;1170640;2024_2025;70962;futuro_real
1447;31;12;6;48;24;15;9;2;10;2;4;8;0;1;1;7;6;2;23;3;0;16;11;39;25;230;162;64;3;1;175;17;2;0;97013;143886;2024_2025;70962;futuro_real
687;26;7;1;10;3;5;2;0;1;0;0;12;0;0;0;1;8;2;2;9;0;11;12;5;32;115;93;46;1;2;95;6;2;0;981411;1199271;2024_2025;70962;futuro_real
1220;23;13;0;8;1;4;3;0;13;2;0;12;0;0;0;1;16;15;36;12;1;8;9;21;36;339;260;69;13;18;175;11;3;0;981804;1408186;2024_2025;70962;futuro_real
550;14;5;2;17;5;8;4;0;9;1;2;9;0;0;0;3;6;3;3;4;0;6;7;0;22;102;77;35;6;2;80;11;3;0;996587;1650465;2024_2025;70962;futuro_real
