nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
Tomás Costa;55164;Club Olimpo;Club Alianza Lima;41834;13950;155
Emanuel Herrera;139955;CS Emelec;Club Sporting Cristal;220104;13413;11621
Omar Merlo;56032;CD Huachipato;Club Sporting Cristal;34134;13475;11653
Yulián Mejía;178114;Atlético Bucaramanga;Club Sporting Cristal;247807;12882;11653
Miguel Camargo;333089;Chorrillo FC;Universidad San Martín de Porres;798277;12825;242
Róbinson Aponzá;84111;Junior de Barranquilla;Rosario FC;355874;12882;11536
Róbinson Aponzá;84111;Junior de Barranquilla;Rosario FC;355874;12882;11539
César Mena;147097;Boyacá Patriotas FC;CD Unión Comercio;819195;12882;11539
Julio Landauri;82577;Club Alianza Lima;Real Garcilaso;38024;12950;480
Óscar Franco;485576;Atlético Nacional;Real Garcilaso;842732;12882;11539
Bernardo Cuesta;89317;CD Huachipato;FBC Melgar;339855;13475;11653
Bernardo Cuesta;89317;CD Huachipato;FBC Melgar;339855;12882;11539
Pablo Míguez;76717;Club Puebla;FBC Melgar;249305;11740;11621
Pablo Míguez;76717;Club Puebla;FBC Melgar;249305;19779;11620
Omar Tejeda;112534;Lobos BUAP (- 2019);FBC Melgar;886298;13413;11621
Mauricio Montes;94328;Sport Huancayo;Ayacucho FC;34031;12950;480
César Ortiz;72716;Sport Huancayo;Ayacucho FC;33284;12950;480
Roberto Guizasola;72706;Sport Huancayo;Universidad Técnica de Cajamarca;33290;12950;480
Luis Cardoza;90674;Deportes Tolima;Universidad Técnica de Cajamarca;147293;12882;11539
Diego Minaya;94741;Sport Huancayo;Universidad Técnica de Cajamarca;169925;12950;480
Víctor Balta;82562;Sport Huancayo;Deportivo Binacional;38023;12950;480
Mario Velarde;102810;CD Unión Comercio;Club Alianza Lima;248291;12950;480
José Guidino;420869;Deportivo Municipal;Club Alianza Lima;883338;12950;480
Janio Pósito;94761;Rosario FC;Club Alianza Lima;883299;12950;480
Gianmarco Gambetta;201043;Club Juan Aurich;Club Alianza Lima;358202;12950;480
Júnior Huerta;95906;Ayacucho FC;Universidad San Martín de Porres;924781;12950;480
Edhu Oliva;516242;Club Sporting Cristal;Universidad San Martín de Porres;914294;12950;480
Yordi Vílchez;338977;Club Juan Aurich;Deportivo Municipal;883406;12950;480
Álvaro Ampuero;195002;Universidad San Martín de Porres;Deportivo Municipal;175977;12950;480
Ricardo Buitrago;93124;Club Juan Aurich;Deportivo Municipal;200758;12950;480
José Carlos Fernández;68910;FBC Melgar;Deportivo Municipal;45882;12950;480
Jhon Tapia;135160;Comerciantes Unidos;Rosario FC;901523;12950;480
Sebastián Ternero;417435;Comerciantes Unidos;Rosario FC;873848;12950;480
Raúl Tito;356222;Universitario de Deportes;Rosario FC;846372;12950;480
Ronaldo Andía;434562;Sport Huancayo;Rosario FC;883279;12950;480
