nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
César Inga;965846;Asociación Deportiva Tarma;Universitario de Deportes;1170640;57741;406
Diego Churín;68747;Club Cerro Porteño;Universitario de Deportes;249137;63769;11541
Diego Churín;68747;Club Cerro Porteño;Universitario de Deportes;249137;57296;384
Diego Churín;68747;Club Cerro Porteño;Universitario de Deportes;249137;57297;480
Paolo Reyna;655639;FBC Melgar;Universitario de Deportes;976933;57741;406
Gabriel Costa;203385;Club Alianza Lima;Universitario de Deportes;590312;57741;406
José Carabalí;729032;Nagoya Grampus;Universitario de Deportes;1017480;58156;16736
José Carabalí;729032;Nagoya Grampus;Universitario de Deportes;1017480;57297;480
Edison Flores;194998;Atlas Guadalajara;Universitario de Deportes;176139;57741;406
Jairo Vélez;323432;Universidad César Vallejo;Universitario de Deportes;542636;57741;406
Matías Succar;626179;Carlos A. Mannucci;Club Alianza Lima;927690;57741;406
Paolo Guerrero;2989;Universidad César Vallejo;Club Alianza Lima;338;57741;406
Jean Pierre Archimbaud;250437;FBC Melgar;Club Alianza Lima;589448;57741;406
Eryc Castillo;266451;Esporte Clube Vitória;Club Alianza Lima;338957;58766;325
Eryc Castillo;266451;Esporte Clube Vitória;Club Alianza Lima;338957;59015;390
Eryc Castillo;266451;Esporte Clube Vitória;Club Alianza Lima;338957;57252;1596
Miguel Trauco;177690;Criciúma Esporte Clube;Club Alianza Lima;247665;58766;325
Miguel Trauco;177690;Criciúma Esporte Clube;Club Alianza Lima;247665;57072;376
Fernando Gaibor;147263;Barcelona SC Guayaquil;Club Alianza Lima;106461;58043;240
Pablo Ceppelini;159773;Atlético Nacional;Club Alianza Lima;146599;57374;11539
Pablo Ceppelini;159773;Atlético Nacional;Club Alianza Lima;146599;63819;11536
Pablo Lavandeira;196037;FBC Melgar;Club Alianza Lima;340077;57741;406
Aldair Fuentes;480523;CF Fuenlabrada;Club Alianza Lima;876927;57741;406
Erick Noriega;723853;Comerciantes Unidos;Club Alianza Lima;1020375;57741;406
Guillermo Enrique;953990;Club de Gimnasia y Esgrima La Plata;Club Alianza Lima;943712;57478;155
