nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
Washington Corozo;400964;Independiente del Valle;Club Sporting Cristal;822721;19990;480
Carlos Cabello;477378;Academia Deportiva Cantolao;Club Sporting Cristal;883396;22349;406
Junior Huerto;443987;Universidad San Martín de Porres;Club Sporting Cristal;883743;22349;406
Nilson Loyola;333025;Goiás EC;Club Sporting Cristal;805261;16007;406
Diego Manicero;54594;Carlos A. Mannucci;FC Carlos Stein;790020;22349;406
Jesús Rabanal;82585;CD Unión Comercio;FC Carlos Stein;38017;22349;406
Luis Perea;92150;HFX Wanderers FC;FC Carlos Stein;877603;24149;54
Josimar Vargas;214624;Carlos A. Mannucci;FC Carlos Stein;345787;22349;406
Brayan Guevara;470023;Universidad Técnica de Cajamarca;FC Carlos Stein;873706;22349;406
Óscar Guerra;160317;Ayacucho FC;FC Carlos Stein;248215;22349;406
Cristian Mejía;375353;Ayacucho FC;FC Carlos Stein;1131302;22349;406
Ronald Ruiz;260105;CD Unión Comercio;FC Carlos Stein;805336;22349;406
Camilo Jiménez;653365;Carlos A. Mannucci;FC Carlos Stein;804780;22349;406
Carlos Grados;330687;Ayacucho FC;FC Carlos Stein;790021;22349;406
Jeremy Rostaing;271676;Universidad César Vallejo;FC Carlos Stein;590468;22349;406
Janeiler Rivas;208729;Sin equipo;FC Carlos Stein;285371;24239;155
Sebastián Gularte;125481;CD Unión Comercio;Deportivo Binacional;789932;22349;406
Anthony Osorio;563397;Universitario de Deportes;Deportivo Binacional;922874;22349;406
Johan Arango;124747;Correcaminos de la UAT;Deportivo Binacional;789238;20160;11539
Johan Arango;124747;Correcaminos de la UAT;Deportivo Binacional;789238;17906;955
Dahwling Leudo;74521;FBC Melgar;Deportivo Binacional;73331;22349;406
John Fajardo;82570;Sport Huancayo;Deportivo Binacional;924643;22349;406
Mauricio Matzuda;491563;Club Alianza Lima;Deportivo Binacional;973562;22349;406
Pablo Labrín;639462;FBC Melgar;Deportivo Binacional;936762;22349;406
Ángel Romero;170616;FBC Melgar;Deportivo Binacional;176289;22349;406
José Canova;211417;Cusco FC;Alianza Universidad;18305;22349;406
Hernán Rengifo;51225;Cusco FC;Alianza Universidad;35621;22349;406
Enzo Maidana;87376;CA Nacional Potosí;Alianza Universidad;876836;19990;480
Juan Morales;100197;CD Unión Comercio;Alianza Universidad;162603;22349;406
Ederson Mogollón;224685;Academia Deportiva Cantolao;Alianza Universidad;883391;22349;406
Mario Ramírez;601307;Pirata FC;Alianza Universidad;941867;22349;406
Juan Tuesta;265236;Cusco FC;Alianza Universidad;879627;22349;406
Germán Pacheco;68542;LDU de Portoviejo;Alianza Universidad;83700;22349;406
Cristian Carbajal;656061;Club Sporting Cristal;Alianza Universidad;977086;22349;406
Flavio Gómez;501653;Club Sporting Cristal;Alianza Universidad;874983;22349;406
Cristian Lasso;147482;Academia Deportiva Cantolao;Club Atlético Grau;180055;22349;406
Maelo Reátegui;332097;Sport Boys Association;Club Atlético Grau;805054;22349;406
Ronaldo Andía;434562;Pirata FC;Club Atlético Grau;883279;22349;406
Carlos Canales;653482;Pirata FC;Club Atlético Grau;975238;22349;406
Bernardo Medina;73631;Deportivo Capiatá;Club Atlético Grau;34367;19990;480
Oshiro Takeuchi;357124;Sport Huancayo;Club Atlético Grau;805366;22349;406
Jeferson Collazos;477383;Deportivo Binacional;Club Atlético Grau;883388;22349;406
Neil Marcos;224683;CD Unión Comercio;Club Atlético Grau;1022066;22349;406
Jonathan Ávila;89576;Atlético Bucaramanga;Club Atlético Grau;819124;20160;11539
Jonathan Ávila;89576;Atlético Bucaramanga;Club Atlético Grau;819124;24014;11536
Enmanuel Páucar;330690;Universitario de Deportes;Club Atlético Grau;805068;22349;406
Gary Correa;82567;Universitario de Deportes;Club Atlético Grau;47397;22349;406
Delio Ojeda;202223;Jaguares de Córdoba;Universidad Técnica de Cajamarca;162713;20160;11539
Delio Ojeda;202223;Jaguares de Córdoba;Universidad Técnica de Cajamarca;162713;24014;11536
Erinson Ramírez;422934;Universidad César Vallejo;Universidad Técnica de Cajamarca;876931;22349;406
Paulo Goyoneche;250929;Cusco FC;Universidad Técnica de Cajamarca;883298;22349;406
Salomón Libman;90230;Sport Huancayo;Universidad Técnica de Cajamarca;107307;22349;406
Janio Pósito;94761;FBC Melgar;Universidad Técnica de Cajamarca;883299;22349;406
Christian Vásquez;639467;FBC Melgar;Universidad Técnica de Cajamarca;924881;22349;406
Carlos Uribe;249977;Deportivo Municipal;Universidad Técnica de Cajamarca;883294;22349;406
Renato Espinosa;483715;Club Sporting Cristal;Universidad Técnica de Cajamarca;883812;22349;406
Gino Guerrero;260243;Cusco FC;Universidad Técnica de Cajamarca;343633;22349;406
Koichi Aparicio;250915;Sport Huancayo;Universidad Técnica de Cajamarca;358194;22349;406
Luis Iberico;325667;FBC Melgar;Universidad Técnica de Cajamarca;901019;22349;406
Luis Garro;473579;CD Unión Comercio;Universidad San Martín de Porres;876928;22349;406
Jhon Vega;582318;Sport Boys Association;Universidad San Martín de Porres;924923;22349;406
Santiago Rebagliati;356221;CD Unión Comercio;Universidad San Martín de Porres;790030;22349;406
Marcos Delgado;94735;Ayacucho FC;Universidad San Martín de Porres;311734;22349;406
Werner Schuler;149622;Universitario de Deportes;Universidad San Martín de Porres;176285;22349;406
Jairo Concha;490717;Club Alianza Lima;Universidad San Martín de Porres;924783;22349;406
Mario Tajima;268806;Carlos A. Mannucci;Academia Deportiva Cantolao;924877;22349;406
Mario Ceballos;133737;Pirata FC;Academia Deportiva Cantolao;992484;22349;406
Leonel Solís;434955;Pirata FC;Academia Deportiva Cantolao;883293;22349;406
Jarlín Quintero;330169;Universidad Técnica de Cajamarca;Academia Deportiva Cantolao;805451;22349;406
Federico Alonso;296211;CA Cerro;Universitario de Deportes;882909;19990;480
Donald Millán;73705;Deportivo Binacional;Universitario de Deportes;249599;22349;406
Christian Ramos;84506;Al-Nassr FC;Universitario de Deportes;47439;22349;406
Gerson Barreto;335217;Academia Deportiva Cantolao;Universitario de Deportes;883397;22349;406
Carlos Olascuaga;94450;Sport Boys Association;Universitario de Deportes;994148;22349;406
Rafael Guarderas;250737;Universidad Técnica de Cajamarca;Universitario de Deportes;805065;22349;406
Alexander Succar;284162;Club Sporting Cristal;Universitario de Deportes;790029;22328;11653
Luis Urruti;285679;CA River Plate Montevideo;Universitario de Deportes;846474;19990;480
Iván Santillán;103817;Sin equipo;Universitario de Deportes;311524;19974;11620
Iván Santillán;103817;Sin equipo;Universitario de Deportes;311524;24002;11621
Pier Larrauri;54934;Deportivo Municipal;Club Cienciano;868724;22349;406
Damián Ísmodes;63451;Cusco FC;Club Cienciano;26176;22349;406
Lampros Kontogiannis;88042;Tiburones Rojos de Veracruz;Club Cienciano;805231;19974;11620
Lampros Kontogiannis;88042;Tiburones Rojos de Veracruz;Club Cienciano;805231;24002;11621
Aldair Perleche;330691;Ayacucho FC;Club Cienciano;339481;22349;406
Luis Trujillo;84349;Ayacucho FC;Club Cienciano;47413;22349;406
Erick Perleche;653484;Pirata FC;Club Cienciano;975241;22349;406
Benjamín Ubierna;172630;Carlos A. Mannucci;Club Cienciano;147516;22349;406
Breno Naranjo;364720;Carlos A. Mannucci;Club Cienciano;857089;22349;406
Jersson Vásquez;94877;Universitario de Deportes;Universidad César Vallejo;106371;22349;406
Emiliano Ciucci;56004;Universidad Técnica de Cajamarca;Universidad César Vallejo;590448;22349;406
Maximiliano Velasco;189220;Club Deportivo Guabirá;Universidad César Vallejo;846854;22349;406
Arquímedes Figuera;78023;Deportivo La Guaira;Universidad César Vallejo;123245;16007;406
José Manzaneda;279387;Deportes La Serena;Universidad César Vallejo;339475;22349;406
Víctor Cedrón;178893;Sin equipo;Universidad César Vallejo;590310;22349;406
Jean Pierre Archimbaud;250437;Cusco FC;Deportivo Municipal;589448;22349;406
Cristian Dávila;214813;CD Unión Comercio;Deportivo Municipal;345769;22349;406
Júnior Ross;72684;Sport Boys Association;Deportivo Municipal;960217;22349;406
Mario Velarde;102810;CD Unión Comercio;Deportivo Municipal;248291;22349;406
David Dioses;434192;CD Unión Comercio;Deportivo Municipal;883768;22349;406
