nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
Írven Ávila;82589;FBC Melgar;Club Sporting Cristal;133862;27096;406
Marcos Riquelme;267638;Bolívar La Paz;Club Sporting Cristal;790008;26785;384
Marcos Riquelme;267638;Bolívar La Paz;Club Sporting Cristal;790008;26788;480
Alejandro Hohberg;212434;Universitario de Deportes;Club Sporting Cristal;830663;27096;406
Alejandro González;100497;Defensor Sporting Club;Club Sporting Cristal;46980;22328;11653
Martín Pérez Guedes;207246;CA Gimnasia y Esgrima (Jujuy);Universidad San Martín de Porres;249403;25114;1900
Carlos Monges;814240;CA 3 de Febrero;Universidad San Martín de Porres;931227;26956;11539
Junior Huerto;443987;Club Sporting Cristal;Universidad San Martín de Porres;883743;27096;406
José Inga;621023;Club Sporting Cristal;Universidad San Martín de Porres;975924;27096;406
Rodrigo Cuba;224670;Club Atlético Morelia;Universidad César Vallejo;339177;22349;406
Carlos Grados;330687;FC Carlos Stein;Universidad César Vallejo;790021;27096;406
Donald Millán;73705;Universitario de Deportes;Universidad César Vallejo;249599;27096;406
Beto da Silva;279057;Club Alianza Lima;Universidad César Vallejo;974136;27096;406
Patricio Rubio;216800;CD Everton;Club Alianza Lima;324943;26951;11653
Arley Rodríguez;208714;Carlos A. Mannucci;Club Alianza Lima;832001;27096;406
José Manzaneda;279387;Deportes La Serena;Club Alianza Lima;339475;27096;406
Pablo Míguez;76717;FBC Melgar;Club Alianza Lima;249305;27096;406
Yordi Vílchez;338977;Cusco FC;Club Alianza Lima;883406;27096;406
Jefferson Portales;582098;Universidad San Martín de Porres;Club Alianza Lima;924787;27096;406
Ricardo Lagos;653364;Carlos A. Mannucci;Club Alianza Lima;973682;27096;406
Edhu Oliva;516242;Club Sporting Cristal;Club Alianza Lima;914294;27096;406
Carlos Beltrán;214719;Club Alianza Lima;Ayacucho FC;220929;27096;406
Marcos Delgado;94735;Cusco FC;Ayacucho FC;311734;27096;406
Janio Pósito;94761;Cusco FC;Ayacucho FC;883299;27096;406
Othoniel Arce;155041;FBC Melgar;Ayacucho FC;123904;27096;406
Carlos Olascuaga;94450;Universitario de Deportes;Ayacucho FC;994148;27096;406
Pablo Lavandeira;196037;Universitario de Deportes;Ayacucho FC;340077;26951;11653
Luis Carranza;483713;Club Sporting Cristal;Ayacucho FC;882860;27096;406
Ítalo Regalado;275266;Deportivo Municipal;Ayacucho FC;339171;27096;406
Aldair Salazar;279380;Club Alianza Lima;Ayacucho FC;883343;27096;406
Enmanuel Páucar;330690;Universitario de Deportes;Ayacucho FC;805068;27096;406
Enzo Gutiérrez;90506;Santiago Wanderers;Universitario de Deportes;33798;26951;11653
Álex Valera;738716;Deportivo Llacuabamba;Universitario de Deportes;1016972;27096;406
Jorge Murrugarra;486265;Ayacucho FC;Universitario de Deportes;882839;27096;406
Jordan Guivin;486641;Universidad San Martín de Porres;Club Cienciano;879628;27096;406
Kevin Sandoval;483714;Club Sporting Cristal;Club Cienciano;883296;27096;406
Hansell Riojas;187161;Sport Boys Association;Club Cienciano;560054;27096;406
Ayrthon Quintana;740319;FC Carlos Stein;Club Cienciano;1016974;27096;406
Adrián Ugarriza;325726;York United FC;Club Cienciano;846366;22349;406
