nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
Diego Dorregaray;522868;Nea Salamina Famagusta;Universitario de Deportes;893536;53242;171
Jairo Concha;490717;Club Alianza Lima;Universitario de Deportes;924783;48078;406
Sebastián Britos;159772;Liverpool FC Montevideo;Universitario de Deportes;161675;48634;278
Williams Riveros;457058;Barcelona SC Guayaquil;Universitario de Deportes;895589;48078;406
Christopher Olivares;527625;Cusco FC;Universitario de Deportes;892669;48078;406
Segundo Portocarrero;443717;Barcelona SC Guayaquil;Universitario de Deportes;846486;48720;240
Edison Flores;194998;Atlas Guadalajara;Universitario de Deportes;176139;42017;11621
Edison Flores;194998;Atlas Guadalajara;Universitario de Deportes;176139;47656;11620
Martín Cauteruccio;76599;CA Independiente;Club Sporting Cristal;47435;47647;155
Nicolás Pasquini;270987;CA Talleres;Club Sporting Cristal;295161;47647;155
Santiago González;597455;Club Deportivo Maipú;Club Sporting Cristal;937859;48079;703
Gustavo Cazonatti;520457;Tombense Futebol Clube (MG);Club Sporting Cristal;892073;49058;390
Pablo Lavandeira;196037;Club Alianza Lima;FBC Melgar;340077;40118;406
Kevin Sandoval;483714;Club Cienciano;FBC Melgar;883296;48078;406
Leonel González;302416;CD Godoy Cruz Antonio Tomba;FBC Melgar;365990;47647;155
Brian Blando;530444;CA Lanús;FBC Melgar;941410;48017;11653
Brian Blando;530444;CA Lanús;FBC Melgar;941410;47647;155
Lucas Diarte;283386;CA Belgrano;FBC Melgar;332777;47647;155
Jhamir D'Arrigo;741728;FBC Melgar;Club Alianza Lima;1017760;48078;406
Kevin Serna;745927;Asociación Deportiva Tarma;Club Alianza Lima;981374;48078;406
Juan Pablo Freytes;628750;CA Newell's Old Boys;Club Alianza Lima;962187;48017;11653
Renzo Garcés;335677;Universidad César Vallejo;Club Alianza Lima;874985;48078;406
Adrián Arregui;358016;CA Temperley;Club Alianza Lima;789372;48079;703
Cecilio Waterman;177064;CD Cobresal;Club Alianza Lima;159931;48017;11653
Sebastián Rodríguez;131114;CA Peñarol;Club Alianza Lima;47418;48634;278
Cristian Neira;818499;CD Unión Comercio;Club Alianza Lima;931776;48078;406
Marco Huamán;837617;Sport Huancayo;Club Alianza Lima;1090720;48078;406
Jeriel de Santis;657791;Boavista FC;Club Alianza Lima;944825;52769;238
Catriel Cabellos;1011264;Racing Club;Club Alianza Lima;1415942;47647;155
Aldair Fuentes;480523;CF Fuenlabrada;Club Alianza Lima;876927;48078;406
Jiovany Ramos;403809;CA Independiente;Club Alianza Lima;1006509;48742;231
Rubén Ramírez;308810;Monagas SC;Cusco FC;312208;48742;231
Carlos Solís;250672;Deportivo Municipal;Cusco FC;339533;48078;406
Juan Manuel Tévez;210553;CA Gimnasia y Esgrima (Jujuy);Cusco FC;923196;48079;703
Lucas Colitto;329212;CA Barracas Central;Cusco FC;586956;47647;155
Pablo Cárdenas;661480;CD Cobresal;Cusco FC;974006;48017;11653
Alonso Tamariz;664864;Academia Deportiva Cantolao;Cusco FC;882897;48078;406
Eslyn Correa;1102800;Deportivo Municipal;Cusco FC;1466374;48078;406
Oswaldo Valenzuela;654298;Club Alianza Lima;Cusco FC;973566;48078;406
Jhosep Núñez;981706;Deportivo Municipal;Cusco FC;1176979;48078;406
Nicolás Silva;422914;CA Chaco For Ever;Cusco FC;830880;48079;703
Iván Colman;380603;Quilmes AC;Cusco FC;829029;48079;703
Luis Ramos;687529;CD Los Chankas;Cusco FC;984107;48078;406
Rely Fernández;480527;Universidad Técnica de Cajamarca;Cusco FC;973681;48078;406
Alan Pérez;146292;CA Temperley;Cusco FC;932870;48079;703
André Vasquez;894880;FBC Melgar;Cusco FC;1415941;48078;406
Fernando Bersano;533569;CA Talleres;Asociación Deportiva Tarma;895338;48079;703
John Narváez;140931;Guayaquil City FC;Asociación Deportiva Tarma;107596;48720;240
Luis Pérez;656911;Once Caldas;Asociación Deportiva Tarma;1098312;48283;11539
Luis Pérez;656911;Once Caldas;Asociación Deportiva Tarma;1098312;52847;11536
Ronald Vega;743322;Ayacucho FC;Asociación Deportiva Tarma;1017769;48078;406
Éder Hermoza;94444;Cusco FC;Asociación Deportiva Tarma;162425;48078;406
Ángel Quiñónez;520501;CD El Nacional;Asociación Deportiva Tarma;886545;48720;240
Edson Aubert;106283;Deportivo Binacional;Asociación Deportiva Tarma;220935;48078;406
Alex Rambal;647304;Deportivo Garcilaso;Asociación Deportiva Tarma;830085;48078;406
Joao Rojas;92729;Deportivo Garcilaso;Asociación Deportiva Tarma;52068;48078;406
